,link_to_course,skills
0,https://ru.coursera.org/specializations/academic-english,"['punctuation', 'essay writing', 'academic writing', 'writing', 'english grammar', 'grammar', 'creative writing']"
1,https://ru.coursera.org/professional-certificates/arizona-state-university-tesol,"['efl', 'english language', 'tesol', 'esl', 'english language teaching', 'teaching', 'lesson plan', 'speech', 'plan']"
2,https://ru.coursera.org/learn/learning-how-to-learn,"['test preparation', 'learning to learn', 'pomodoro technique', 'meta learning']"
3,https://ru.coursera.org/learn/negotiation-skills,"['strategic negotiations', 'communication', 'negotiation', 'decision tree']"
4,https://ru.coursera.org/learn/the-science-of-well-being,"['gratitude', 'happiness', 'meditation', 'savoring']"
5,https://ru.coursera.org/specializations/career-success,"['project management', 'information technology (it) management', 'communication', 'negotiation', 'leadership', 'team management', 'task management', 'management', 'planning', 'plan', 'accounting', 'financial ratio']"
6,https://ru.coursera.org/learn/learn-chinese,"['grammar', 'communication', 'chinese language', 'speech']"
7,https://ru.coursera.org/learn/learn-korean,"['grammar', 'korean language', 'speech', 'writing']"
8,https://ru.coursera.org/learn/aprendiendo-a-aprender,"['organizing (management)', 'pomodoro technique', 'professional development', 'meta learning', 'learning to learn']"
9,https://ru.coursera.org/learn/medical-research,"['medicine', 'health research', 'medical terminology', 'medical writing', 'research methods']"
10,https://ru.coursera.org/projects/interactive-learning-genially,"['online tools', 'interactive learning', 'teaching tools', 'elementary teaching']"
11,https://ru.coursera.org/projects/student-creative-learning-buncee,"['online tools', 'interactive content creation', 'communication tools', 'learning tools']"
12,https://ru.coursera.org/projects/classroom-visualizations-collaborations-popplet,"[""teacher's toolkit"", 'elementary teaching', 'communications tools', 'online teaching tools']"
13,https://ru.coursera.org/projects/engaging-presentations-with-mentimeter,"['classroom engagement', 'presentation tools', 'teaching tools', 'elementary teaching']"
14,https://ru.coursera.org/projects/creating-portfolio-using-weebly,"['communication design', 'website development', 'portfolio creation', 'uploading images']"
15,https://ru.coursera.org/learn/happiness,"['gratitude', 'mindfulness', 'happiness', 'meditation']"
16,https://ru.coursera.org/learn/work-smarter-not-harder,"['task management', 'management', 'planning', 'plan']"
17,https://ru.coursera.org/learn/mindfulness,"['ethics', 'meditation', 'positive psychology', 'mindfulness', 'philosophy']"
18,https://ru.coursera.org/specializations/wharton-success,"['goal setting', 'happiness', 'personality development', 'personal development', 'communication', 'negotiation', 'deception']"
19,https://ru.coursera.org/specializations/positivepsychology,"['gratitude', 'goal setting', 'research methodology', 'resilience', 'character strengths and virtues', 'positive education', 'positive psychology', 'savoring', 'plan', 'communication', 'mindfulness', 'flourishing']"
20,https://ru.coursera.org/learn/wharton-success,"['goal setting', 'happiness', 'personality development', 'personal development']"
21,https://ru.coursera.org/learn/introduction-psych,"['psychological issues', 'psychology', 'social psychology', 'mental illness']"
22,https://ru.coursera.org/learn/success,"['personal branding', 'planning', 'social capital', 'self-motivation']"
23,https://ru.coursera.org/learn/science-exercise,"['training', 'nutrition', 'fitness and nutrition', 'public health']"
24,https://ru.coursera.org/learn/vital-signs,"['dolor assessment', 'metabolic pathways', 'vital signs', 'pain management']"
25,https://ru.coursera.org/learn/food-and-health,"['health informatics', 'nutrition', 'food safety', 'food science']"
26,https://ru.coursera.org/learn/adhd-treatment,"['teaching', 'communication', 'planning', 'attention deficit hyperactivity disorder (adhd)']"
27,https://ru.coursera.org/learn/childnutrition,"['nutrition', 'organic food', 'food safety', 'food science']"
28,https://ru.coursera.org/specializations/data-engineering-foundations,"['information engineering', 'python programming', 'extraction, transformation and loading (etl)', 'relational database management system (rdbms)', 'sql', 'data science', 'database (dbms)', 'nosql', 'data analysis', 'pandas', 'numpy', 'web scraping']"
29,https://ru.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,"['node.js', 'docker', 'full stack developer', 'cloud native', 'devops', 'iaas paas saas', 'hybrid multicloud', 'cloud computing', 'kubernetes', 'containers', 'openshift', 'data science']"
30,https://ru.coursera.org/professional-certificates/sre-devops-engineer-google-cloud,"['google compute engine', 'google app engine (gae)', 'google cloud platform', 'cloud computing', 'sre culture', 'business value', 'organizational culture', 'disaster recovery', 'site reliability engineering', 'continuous delivery', 'kubernetes', 'jenkins (software)']"
31,https://ru.coursera.org/professional-certificates/gcp-cloud-architect,"['google compute engine', 'google app engine (gae)', 'google cloud platform', 'cloud computing', 'virtual machine', 'network architecture', 'debugging', 'cloud storage', 'data store', 'load balancing', 'virtual private network (vpn)', 'autoscaling']"
32,https://ru.coursera.org/professional-certificates/google-it-support,"['debugging', 'encryption algorithms and techniques', 'customer service', 'network protocols', 'cloud computing', 'binary code', 'customer support', 'linux', 'troubleshooting', 'domain name system (dns)', 'ipv4', 'network model']"
33,https://ru.coursera.org/specializations/key-technologies-for-business,"['data science', 'artificial intelligence (ai)', 'business', 'cloud computing', 'technology', 'cloud native', 'devops', 'iaas paas saas', 'hybrid multicloud', 'deep learning', 'jobs', 'machine learning']"
34,https://ru.coursera.org/professional-certificates/cloud-engineering-gcp,"['google compute engine', 'google app engine (gae)', 'google cloud platform', 'cloud computing', 'virtual machine', 'network architecture', 'debugging', 'cloud storage', 'data store', 'load balancing', 'virtual private network (vpn)', 'autoscaling']"
35,https://ru.coursera.org/learn/technical-support-fundamentals,"['binary code', 'customer support', 'linux', 'troubleshooting']"
36,https://ru.coursera.org/learn/seguridad-informatica,"['ciberseguridad', 'criptografía', 'seguridad inalámbrica', 'seguridad de la red']"
37,https://ru.coursera.org/professional-certificates/suporte-em-ti-do-google,"['linux', 'código binario', 'solución de problemas', 'soporte al cliente', 'ipv4', 'resolução de problemas', 'sistema de nomes de domínio (dns)', 'modelo de rede', 'powershell', 'sistemas de arquivos do linux', 'interface de comando', 'serviço de diretórios']"
38,https://ru.coursera.org/learn/asistencia-tecnica,"['linux', 'código binario', 'solución de problemas', 'soporte al cliente']"
39,https://ru.coursera.org/learn/fundamentos-do-suporte-tecnico,"['linux', 'código binario', 'solución de problemas', 'soporte al cliente']"
40,https://ru.coursera.org/projects/set-up-your-dev-environment-mern-developers-linux,"['mongoose', 'mern', 'mongodb', 'node', 'react']"
41,https://ru.coursera.org/projects/linux-ssh-to-remote-server--networking-basics-for-devops,"['server', 'domain name system (dns)', 'networking', 'ssh', 'keygen']"
42,https://ru.coursera.org/projects/package-installation-linux,"['xubuntu', 'linux', 'ubuntu']"
43,https://ru.coursera.org/projects/amazon-rekognition,"['aws', 'computervision']"
44,https://ru.coursera.org/projects/how-plan-content-calendar-trello,"['marketing', 'content creation', 'organization', 'manage', 'project management']"
45,https://ru.coursera.org/projects/overview-data-visualization,"['line graph', 'pie chart', 'data visualization (dataviz)', 'bar chart', 'data aggregation']"
46,https://ru.coursera.org/specializations/from-data-to-insights-google-cloud-platform,"['bigquery', 'machine learning', 'data visualization (dataviz)', 'sql', 'google cloud platform', 'cloud computing']"
47,https://ru.coursera.org/specializations/developing-apps-gcp,"['debugging', 'cloud storage', 'google cloud platform', 'cloud computing', 'google compute engine', 'google app engine (gae)', 'data store', 'application programming interfaces (api)', 'google container engine']"
48,https://ru.coursera.org/learn/google-kubernetes-engine,"['continuous delivery', 'kubernetes', 'google cloud platform', 'jenkins (software)']"
49,https://ru.coursera.org/specializations/apigee-api-gcp,"['oauth', 'api security', 'rest api design', 'openapi specifications', 'apigee api platform']"
50,https://ru.coursera.org/specializations/gcp-architecture,"['google compute engine', 'google app engine (gae)', 'google cloud platform', 'cloud computing', 'virtual machine', 'network architecture', 'debugging', 'cloud storage', 'data store', 'load balancing', 'virtual private network (vpn)', 'autoscaling']"
51,https://ru.coursera.org/specializations/gcp-data-machine-learning,"['tensorflow', 'bigquery', 'google cloud platform', 'cloud computing']"
52,https://ru.coursera.org/learn/cyber-conflicts,"['cybersecurity', 'cybercrime', 'cyberwarfare', 'internet protocol (ip) suite']"
53,https://ru.coursera.org/learn/iot-cyber-security,"['cybersecurity', 'wearable devices', 'internet of things (iot)', 'wearable technology']"
54,https://ru.coursera.org/learn/usable-security,"['cybersecurity', 'usability', 'privacy', 'user interface']"
55,https://ru.coursera.org/learn/cyber-security-domain,"['cybersecurity', 'cryptography', 'information security (infosec)', 'cyber-security regulation']"
56,https://ru.coursera.org/learn/uva-darden-continous-delivery-devops,"['devops', 'continuous delivery', 'unit testing', 'infrastructure as code', 'system testing']"
57,https://ru.coursera.org/learn/it-project-management,"['project management', 'risk management', 'agile management', 'program evaluation and review technique (pert)']"
58,https://ru.coursera.org/learn/aws-fundamentals-going-cloud-native,"['cloud computing security', 'aws cloud', 'cloud storage', 'cloud networking', 'cloud computing']"
59,https://ru.coursera.org/specializations/tesol,"['education', 'online learning']"
60,https://ru.coursera.org/specializations/business-english,"['business plan', 'english language', 'meeting', 'presentation', 'email writing', 'business communication', 'communication', 'professional', 'writing', 'negotiation', 'planning', 'language']"
61,https://ru.coursera.org/specializations/intermediate-grammar,"['english grammar', 'perfect tenses', 'english language', 'adjective', 'grammar', 'writing', 'apposition']"
62,https://ru.coursera.org/specializations/improve-english,"['professional', 'email writing', 'presentation', 'writing', 'communication', 'stress', 'public speaking', 'speech']"
63,https://ru.coursera.org/learn/speak-english-professionally,"['stress', 'communication', 'presentation', 'public speaking']"
64,https://ru.coursera.org/learn/professional-emails-english,"['professional', 'email writing', 'communication', 'writing']"
65,https://ru.coursera.org/learn/careerdevelopment,"['communication', 'english language', 'career development', 'writing']"
66,https://ru.coursera.org/learn/media,"['grammar', 'media analysis', 'english language', 'media literacy']"
67,https://ru.coursera.org/learn/tesol-speaking,"['teaching', 'english language', 'lesson plan', 'speech']"
68,https://ru.coursera.org/specializations/tesol-certificate-2,"['teaching', 'english language', 'lesson plan', 'speech', 'plan']"
69,https://ru.coursera.org/specializations/business-english-speakers,"['business communication', 'communication', 'business writing', 'writing', 'grammar', 'english language']"
70,https://ru.coursera.org/specializations/english-for-business,"['negotiation', 'english language', 'management', 'marketing', 'writing', 'communication', 'emailing', 'meeting', 'win-win game', 'business communication', 'finance', 'leadership']"
71,https://ru.coursera.org/learn/business,"['business plan', 'market research', 'english language', 'entrepreneurship']"
72,https://ru.coursera.org/specializations/hsk-learn-chinese,"['chinese language', 'hanyu shuiping kaoshi (hsk)']"
73,https://ru.coursera.org/specializations/learn-mandarin-chinese-intermediate,"['hsk3', 'business', 'foreign language', 'hanyu shuiping kaoshi (hsk)', 'mandarin chinese']"
74,https://ru.coursera.org/specializations/american-english-pronunciation,"['english language', 'pronunciation']"
75,https://ru.coursera.org/specializations/advanced-grammar-punctuation,"['english grammar', 'punctuation', 'grammar', 'english language', 'perfect tenses']"
76,https://ru.coursera.org/learn/psychological-first-aid,"['reflective listening', 'active listening', 'crisis intervention', 'psychological first aid']"
77,https://ru.coursera.org/specializations/bioinformatics,"['whole genome sequencing', 'viterbi algorithm', 'suffix tree', 'python programming', 'algorithms', 'unweighted pair group method with arithmetic mean (upgma)', 'bioinformatics', 'bioinformatics algorithms', 'dynamic programming', 'graph theory']"
78,https://ru.coursera.org/specializations/professional-epidemiology,"['outbreak investigation', 'public health surveillance', 'visualization', 'statistics', 'epidemiology', 'estimation', 'geographic information system (gis)', 'statistical methods', 'data collection', 'surveillance', 'disease surveillance', 'data analysis']"
79,https://ru.coursera.org/learn/introduction-psychology,"['reasoning', 'problem solving', 'abstract thinking', 'analytical thinking', 'critical thinking']"
80,https://ru.coursera.org/learn/science-of-meditation,"['philosophy', 'psychology', 'mindfulness', 'meditation']"
81,https://ru.coursera.org/learn/covid-19-contact-tracing,"['ethics', 'active listening', 'public health', 'contact tracing', 'epidemiology']"
82,https://ru.coursera.org/learn/dino101,"['biodiversity', 'biology', 'evolution', 'paleontology']"
83,https://ru.coursera.org/projects/access-bioinformatics-databases-with-biopython,"['bioinformatics', 'python programming', 'access biological database']"
84,https://ru.coursera.org/projects/sars-cov-2-protein-modeling-and-drug-docking,"['bioinformatics', 'drug docking', 'protein modeling', 'protein visualisation']"
85,https://ru.coursera.org/projects/3d-sars-cov-19-protein-visualization-with-biopython,"['sars-cov-19', 'biopython', 'python programming', 'bioinformatics', 'biotechnology']"
86,https://ru.coursera.org/projects/covid-19-series-temporelles-python,"['data analysis', 'pandas', 'visualisation des données', 'programmation python']"
87,https://ru.coursera.org/projects/medical-image-classification-tensorflow,"['tensorflow in production', 'image classification', 'health informatics analysis']"
88,https://ru.coursera.org/learn/genetics-evolution,"['biology', 'genetics', 'evolution', 'genomics']"
89,https://ru.coursera.org/learn/clinical-terminology,"['english language', 'clinical experience', 'vital signs', 'medical device']"
90,https://ru.coursera.org/learn/statistical-genomics,"['statistics', 'data analysis', 'r programming', 'biostatistics']"
91,https://ru.coursera.org/learn/physiology,"['metabolic pathways', 'biology', 'organ systems', 'medicine']"
92,https://ru.coursera.org/specializations/patient-safety,"['patient care', 'patient safety', 'comprehensive unit-based safety program (cusp) toolkit', 'quality improvement', 'systems thinking', 'communication', 'healthcare leadership', 'organizational culture', 'project management', 'design thinking', 'change management', 'project planning']"
93,https://ru.coursera.org/specializations/healthcare-marketplace,"['medical device', 'cost–benefit analysis', 'healthcare delivery systems', 'evaluation', 'health insurance', 'healthcare management', 'insurance', 'healthcare marketing']"
94,https://ru.coursera.org/specializations/healthcare-trends-business-professionals,"['predictive analytics', 'analytics', 'decision support system', 'workflow']"
95,https://ru.coursera.org/specializations/healthcare-organization-operations,"['pharmacy healthcare organization operations', 'public health and wellness healthcare organization operations', 'medical healthcare organization operations', 'healthcare administration', 'dental healthcare organization operations']"
96,https://ru.coursera.org/specializations/leadership-nursing-informatics,"['nursing informatics', 'leadership knowledge', 'organizational and practice insights', 'foresight leadership skills', 'leadership theory', 'leadership', 'nursing', 'exercise', 'leadership dynamics', 'professional development']"
97,https://ru.coursera.org/specializations/healthcare-administration-management,"['insurance', 'health economics']"
98,https://ru.coursera.org/specializations/statistical-analysis-r-public-health,"['statistical thinking', 'survival analysis', 'logistic regression', 'data analysis with r', 'linear regression', 'run basic analyses in r', 'r programming', 'understand common data distributions and types of variables', 'formulate a scientific hypothesis', 'correlation and dependence', 'understand common ways to choose what predictors go into a regression model', 'run and interpret kaplan-meier curves in r']"
99,https://ru.coursera.org/specializations/public-health-epidemiology,"['association', 'screening', 'causal inference', 'clinical study design', 'bias', 'incidence', 'epidemiology', 'prevalence', 'randomized controlled trial', 'case-control study', 'study designs', 'cohort']"
100,https://ru.coursera.org/specializations/social-welfare-policy,"['formulate practice strategies to overcome the historic biases in social welfare programs', 'distinguish the values inherent in each social policy initiative', 'differentiate alternative approaches to social policy problems', 'critique components of a social policy based on their effectiveness at meeting the goals stated in the initiative', 'develop social welfare policy analysis and reform proposals', '-\tdistinguish the values inherent in each social policy initiative', '-\tcritique components of a social policy based on their effectiveness at meeting the goals stated in the initiative', '-\tdevelop social welfare policy analysis and reform proposals', '-\tdifferentiate alternative approaches to social policy problems', '-\tformulate practice strategies to overcome the historic biases in social welfare programs']"
101,https://ru.coursera.org/specializations/discrete-mathematics,"['graph theory', 'number theory', 'cryptography', 'probability', 'mathematical induction', 'proof theory', 'discrete mathematics', 'mathematical logic', 'random variable', 'probability interpretations', 'combinatorics', 'modular exponentiation']"
102,https://ru.coursera.org/learn/game-theory-1,"['game theory', 'backward induction', 'bayesian game', 'problem solving']"
103,https://ru.coursera.org/learn/crypto,"['cryptography', 'cryptographic attacks', 'public-key cryptography', 'symmetric-key algorithm']"
104,https://ru.coursera.org/learn/linear-algebra-machine-learning,"['eigenvalues and eigenvectors', 'basis (linear algebra)', 'transformation matrix', 'linear algebra']"
105,https://ru.coursera.org/specializations/mathematics-machine-learning,"['eigenvalues and eigenvectors', 'principal component analysis (pca)', 'multivariable calculus', 'linear algebra', 'basis (linear algebra)', 'transformation matrix', 'linear regression', 'vector calculus', 'gradient descent', 'dimensionality reduction', 'python programming']"
106,https://ru.coursera.org/learn/data-scientists-tools,"['data science', 'github', 'r programming', 'rstudio']"
107,https://ru.coursera.org/learn/sql-for-data-science,"['data science', 'data analysis', 'sqlite', 'sql']"
108,https://ru.coursera.org/learn/mathematical-thinking,"['number theory', 'real analysis', 'mathematical logic', 'language']"
109,https://ru.coursera.org/learn/differential-equations-engineers,"['ordinary differential equation', 'partial differential equation (pde)', 'engineering mathematics']"
110,https://ru.coursera.org/learn/ekonometrika,"['statistics', 'time series', 'econometrics', 'r programming']"
111,https://ru.coursera.org/learn/contenido-matematica-escolar,"['identificar temas para la planificación de clases', 'usar algunos materiales y recursos', 'reconocer cómo se hacen presentes las matemáticas en lo cotidiano', 'conocer temas de las matemáticas de primaria', 'identificar ejemplos del uso de las matemáticas']"
112,https://ru.coursera.org/projects/simulate-machine-intel-fuzzy-logic-google-sheets-bigml,"['fuzzy logic', 'machine learning', 'bigml', 'google sheets', 'set theory']"
113,https://ru.coursera.org/projects/scatter-plot-data-scientists-big-data-analysts-visuals,"['functions', 'curve plotting', 'graphical analysis', 'wolfram programming']"
114,https://ru.coursera.org/projects/play-with-graphs-using-wolfram-mathematica,"['functions', 'domain', 'plotting of curve', 'wolfram language', 'range']"
115,https://ru.coursera.org/projects/laws-of-mechanics,"['dynamics', 'mechanics', 'physics-kinematics']"
116,https://ru.coursera.org/projects/excel-basics-for-data-visualizations-z02aw,"['excel spreadsheets', 'charts', 'dashboards', 'storytelling', 'data visualizations']"
117,https://ru.coursera.org/learn/datasciencemathskills,"[""bayes' theorem"", 'bayesian probability', 'probability', 'probability theory']"
118,https://ru.coursera.org/learn/statistical-inferences,"['likelihood function', 'bayesian statistics', 'p-value', 'statistical inference']"
119,https://ru.coursera.org/learn/bayesian,"['bayesian statistics', 'bayesian linear regression', 'bayesian inference', 'r programming']"
120,https://ru.coursera.org/learn/inferential-statistics-intro,"['statistical inference', 'statistical hypothesis testing', 'r programming']"
121,https://ru.coursera.org/learn/probability-intro,"['statistics', 'r programming', 'rstudio', 'exploratory data analysis']"
122,https://ru.coursera.org/learn/mcmc-bayesian-statistics,"['gibbs sampling', 'bayesian statistics', 'bayesian inference', 'r programming']"
123,https://ru.coursera.org/learn/algorithms-part1,"['data structure', 'algorithms', 'java programming']"
124,https://ru.coursera.org/learn/logic-introduction,"['relational algebra', 'problem solving', 'propositional calculus', 'mathematical logic']"
125,https://ru.coursera.org/learn/algorithms-greedy,"['spanning tree', 'algorithms', 'dynamic programming', 'greedy algorithm']"
126,https://ru.coursera.org/specializations/data-structures-algorithms,"['debugging', 'software testing', 'algorithms', 'data structure', 'computer programming', 'dynamic programming', 'binary search tree', 'priority queue', 'hash table', 'stack (abstract data type)', 'list', 'graph theory']"
